"name"	"correct"
"amc12b_2020_p21"	"0"
"amc12b_2020_p22"	"0"
"amc12b_2020_p6"	"0"
"amc12b_2021_p1"	"0"
"amc12b_2021_p13"	"0"
"amc12b_2021_p18"	"0"
"amc12b_2021_p3"	"0"
"amc12b_2021_p4"	"1"
"amc12b_2021_p9"	"0"
"imo_1959_p1"	"0"
"imo_1960_p2"	"0"
"imo_1962_p2"	"0"
"imo_1963_p5"	"0"
"imo_1964_p2"	"8"
"imo_1965_p2"	"0"
"imo_1968_p5_1"	"0"
"imo_1969_p2"	"0"
"imo_1974_p3"	"0"
"imo_1977_p6"	"0"
"imo_1981_p6"	"0"
"imo_1982_p1"	"0"
"imo_1983_p6"	"2"
"imo_1984_p6"	"0"
"imo_1985_p6"	"0"
"imo_1992_p1"	"0"
"imo_1997_p5"	"0"
"imo_2001_p6"	"0"
"imo_2019_p1"	"0"
"imosl_2007_algebra_p6"	"0"
"induction_11div10tonmn1ton"	"6"
"induction_12dvd4expnp1p20"	"12"
"induction_1pxpownlt1pnx"	"0"
"induction_nfactltnexpnm1ngt3"	"0"
"induction_pord1p1on2powklt5on2"	"0"
"induction_pprime_pdvdapowpma"	"0"
"induction_prod1p1onk3le3m1onn"	"0"
"induction_sumkexp3eqsumksq"	"0"
"mathd_algebra_107"	"18"
"mathd_algebra_113"	"14"
"mathd_algebra_114"	"0"
"mathd_algebra_125"	"8"
"mathd_algebra_129"	"14"
"mathd_algebra_137"	"0"
"mathd_algebra_139"	"8"
"mathd_algebra_141"	"6"
"mathd_algebra_142"	"10"
"mathd_algebra_143"	"10"
"mathd_algebra_148"	"14"
"mathd_algebra_153"	"1"
"mathd_algebra_156"	"0"
"mathd_algebra_158"	"0"
"mathd_algebra_160"	"10"
"mathd_algebra_17"	"0"
"mathd_algebra_170"	"1"
"mathd_algebra_171"	"8"
"mathd_algebra_176"	"24"
"mathd_algebra_184"	"0"
"mathd_algebra_188"	"5"
"mathd_algebra_196"	"0"
"mathd_algebra_208"	"0"
"mathd_algebra_209"	"0"
"mathd_algebra_215"	"0"
"mathd_algebra_24"	"10"
"mathd_algebra_246"	"5"
"mathd_algebra_263"	"4"
"mathd_algebra_270"	"0"
"mathd_algebra_275"	"1"
"mathd_algebra_276"	"0"
"mathd_algebra_288"	"0"
"mathd_algebra_289"	"0"
"mathd_algebra_293"	"0"
"mathd_algebra_296"	"13"
"mathd_algebra_302"	"14"
"mathd_algebra_304"	"19"
"mathd_algebra_313"	"0"
"mathd_algebra_314"	"12"
"mathd_algebra_320"	"0"
"mathd_algebra_329"	"15"
"mathd_algebra_33"	"6"
"mathd_algebra_332"	"0"
"mathd_algebra_338"	"1"
"mathd_algebra_342"	"0"
"mathd_algebra_346"	"9"
"mathd_algebra_354"	"10"
"mathd_algebra_359"	"14"
"mathd_algebra_362"	"0"
"mathd_algebra_388"	"16"
"mathd_algebra_392"	"0"
"mathd_algebra_398"	"12"
"mathd_algebra_400"	"8"
"mathd_algebra_412"	"20"
"mathd_algebra_419"	"18"
"mathd_algebra_427"	"5"
"mathd_algebra_432"	"25"
"mathd_algebra_44"	"14"
"mathd_algebra_440"	"7"
"mathd_algebra_441"	"21"
"mathd_algebra_452"	"1"
"mathd_algebra_459"	"0"
"mathd_algebra_478"	"4"
"mathd_algebra_484"	"1"
"mathd_algebra_487"	"0"
"mathd_algebra_513"	"18"
"mathd_algebra_598"	"0"
"mathd_algebra_756"	"0"
"mathd_algebra_76"	"0"
"mathd_algebra_80"	"1"
"mathd_numbertheory_100"	"2"
"mathd_numbertheory_1124"	"5"
"mathd_numbertheory_12"	"6"
"mathd_numbertheory_127"	"10"
"mathd_numbertheory_135"	"1"
"mathd_numbertheory_150"	"1"
"mathd_numbertheory_175"	"9"
"mathd_numbertheory_185"	"19"
"mathd_numbertheory_207"	"21"
"mathd_numbertheory_212"	"9"
"mathd_numbertheory_222"	"1"
"mathd_numbertheory_227"	"0"
"mathd_numbertheory_229"	"18"
"mathd_numbertheory_233"	"1"
"mathd_numbertheory_234"	"0"
"mathd_numbertheory_235"	"10"
"mathd_numbertheory_237"	"12"
"mathd_numbertheory_239"	"11"
"mathd_numbertheory_247"	"12"
"mathd_numbertheory_254"	"18"
"mathd_numbertheory_277"	"0"
"mathd_numbertheory_293"	"4"
"mathd_numbertheory_296"	"0"
"mathd_numbertheory_299"	"18"
"mathd_numbertheory_3"	"12"
"mathd_numbertheory_314"	"0"
"mathd_numbertheory_320"	"9"
"mathd_numbertheory_321"	"0"
"mathd_numbertheory_328"	"12"
"mathd_numbertheory_34"	"5"
"mathd_numbertheory_341"	"1"
"mathd_numbertheory_342"	"16"
"mathd_numbertheory_343"	"0"
"mathd_numbertheory_345"	"14"
"mathd_numbertheory_353"	"0"
"mathd_numbertheory_427"	"0"
"mathd_numbertheory_430"	"0"
"mathd_numbertheory_435"	"0"
"mathd_numbertheory_447"	"9"
"mathd_numbertheory_451"	"0"
"mathd_numbertheory_457"	"0"
"mathd_numbertheory_483"	"0"
"mathd_numbertheory_495"	"0"
"mathd_numbertheory_5"	"0"
"mathd_numbertheory_517"	"19"
"mathd_numbertheory_521"	"0"
"mathd_numbertheory_541"	"0"
"mathd_numbertheory_551"	"17"
"mathd_numbertheory_552"	"0"
"mathd_numbertheory_559"	"5"
"mathd_numbertheory_582"	"5"
"mathd_numbertheory_618"	"0"
"mathd_numbertheory_66"	"16"
"mathd_numbertheory_711"	"0"
"mathd_numbertheory_728"	"28"
"mathd_numbertheory_764"	"0"
"mathd_numbertheory_765"	"4"
"mathd_numbertheory_769"	"15"
"mathd_numbertheory_85"	"18"
"mathd_numbertheory_99"	"7"
"numbertheory_2pownm1prime_nprime"	"0"
"numbertheory_3pow2pownm1mod2pownp3eq2pownp2"	"0"
"numbertheory_4x3m7y3neq2003"	"0"
"numbertheory_aoddbdiv4asqpbsqmod8eq1"	"0"
"numbertheory_exk2powkeqapb2mulbpa2_aeq1"	"0"
"numbertheory_fxeq4powxp6powxp9powx_f2powmdvdf2pown"	"0"
"numbertheory_notequiv2i2jasqbsqdiv8"	"0"
"numbertheory_x5neqy2p4"	"0"
