"name"	"correct"
"mathd_numbertheory_551"	"24"
"mathd_numbertheory_552"	"0"
"mathd_numbertheory_559"	"9"
"mathd_numbertheory_582"	"7"
"mathd_numbertheory_618"	"0"
"mathd_numbertheory_66"	"15"
"mathd_numbertheory_711"	"0"
"mathd_numbertheory_728"	"21"
"mathd_numbertheory_764"	"0"
"mathd_numbertheory_765"	"10"
"mathd_numbertheory_769"	"18"
"mathd_numbertheory_85"	"25"
"mathd_numbertheory_99"	"10"
"numbertheory_2pownm1prime_nprime"	"0"
"numbertheory_3pow2pownm1mod2pownp3eq2pownp2"	"0"
"numbertheory_4x3m7y3neq2003"	"1"
"numbertheory_aoddbdiv4asqpbsqmod8eq1"	"0"
"numbertheory_exk2powkeqapb2mulbpa2_aeq1"	"0"
"numbertheory_fxeq4powxp6powxp9powx_f2powmdvdf2pown"	"0"
"numbertheory_notequiv2i2jasqbsqdiv8"	"1"
"numbertheory_x5neqy2p4"	"2"
